SampleId,SampleName,OnyxDesignDnaId,DesignId,DesignCount,DesignFractionalAbundance,DesignRepresentation,Log10DesignRepresentation,DesignCategory,DesignFractionalAbundanceMappedDesigns,DesignRepresentationMappedDesigns,Log10DesignRepresentationMappedDesigns,ForwardReadCount,ReverseReadCount,DesignCollides,Var1,Var2,Var3,Var4,Var5
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,279814,213,6.24518600245644e-05,0.6246435039656931,-0.20436777214825375,edit,6.283586210802812e-05,0.6283586210802812,-0.2017924220219318,0,213,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,279940,88,2.5801707427989048e-05,0.25806867769474645,-0.5882647034368229,edit,2.5960356176086734e-05,0.25960356176086735,-0.5856893533105009,0,88,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,279965,337,9.880881140036715e-05,0.9882857316264723,-0.005117474715652822,edit,9.941636399251397e-05,0.9941636399251397,-0.002542124589330886,0,337,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,280062,166,4.867140264825206e-05,0.48681136928781715,-0.3126392875469364,edit,4.897067187761816e-05,0.48970671877618155,-0.31006393742061444,0,166,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,280119,474,0.00013897737864621373,1.3900517412194298,0.1430309660870936,edit,0.00013983191849392175,1.3983191849392174,0.1456063162134156,0,474,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,280149,209,6.127905514147398e-05,0.6129131095250228,-0.21260108947593753,edit,6.1655845918206e-05,0.61655845918206,-0.21002573934961546,0,209,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,280174,440,0.00012900853713994524,1.2903433884737323,0.11070530089919596,edit,0.0001298017808804337,1.2980178088043368,0.11328065102551797,0,440,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,280232,498,0.0001460142079447562,1.4604341078634515,0.16448196717272606,edit,0.00014691201563285449,1.4691201563285448,0.16705731729904805,0,498,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,280345,128,3.752975625889316e-05,0.3753726221014494,-0.4255374059391231,edit,3.776051807430798e-05,0.3776051807430798,-0.4229620558128011,0,128,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,280423,124,3.6356951375802746e-05,0.3636422276607791,-0.43932569042475644,edit,3.658050188448585e-05,0.36580501884485855,-0.4367503402984344,0,124,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,280529,299,8.766716501100823e-05,0.8768469844401043,-0.05707618726256187,edit,8.82062101892038e-05,0.882062101892038,-0.05450083713623978,0,299,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,280707,213,6.24518600245644e-05,0.6246435039656931,-0.20436777214825375,edit,6.283586210802812e-05,0.6283586210802812,-0.2017924220219318,0,213,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,280806,385,0.00011288246999745208,1.1290504649145157,0.05271335392150918,edit,0.00011357655827037947,1.1357655827037947,0.0552887040478312,0,385,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,281419,716,0.00020993207407318362,2.0997406048799827,0.3221656467208641,edit,0.00021122289797816026,2.1122289797816025,0.32474099684718605,0,716,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,281431,192,5.629463438833974e-05,0.563058933152174,-0.2494461468834419,edit,5.664077711146197e-05,0.5664077711146197,-0.24687079675711984,0,192,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,281728,555,0.00016272667752879457,1.6275922286430033,0.21154560753568483,edit,0.00016372724633781976,1.6372724633781977,0.21412095766200678,0,555,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,281969,58,1.7005670804810964e-05,0.17009071938971926,-0.7693193820240541,edit,1.7110234752420804e-05,0.17110234752420805,-0.7667440318977321,0,58,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,282131,258,7.564591495933152e-05,0.7566104414232339,-0.12112766962376134,edit,7.611104424352702e-05,0.7611104424352702,-0.11855231949743934,0,258,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,282135,279,8.180314059555618e-05,0.818195012236753,-0.08714317231339393,edit,8.230612924009318e-05,0.8230612924009317,-0.08456782218707191,0,279,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,282536,214,6.2745061245337e-05,0.6275761025758607,-0.2023336022378006,edit,6.313086615548365e-05,0.6313086615548366,-0.19975825211147863,0,214,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,282567,685,0.00020084283622923293,2.008830047964788,0.3029431959054341,edit,0.0002020777725070388,2.020777725070388,0.3055185460317561,0,685,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
